case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
0,evals_hard,False,AGENT_ERROR,Hockey,"Find the top 50 NHL players by career points, only including players with at least 5 seasons.","SELECT s.playerID, m.firstName, m.lastName, SUM(s.Pts) as career_points, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY career_points DESC LIMIT 50",,Agent error: Max iterations reached,27.539406457915902
1,evals_hard,True,NONE,lahman_2014,"Find the top 50 Hall of Fame voting results by BBWAA with at least 75% support, showing vote percentages. Give the player's first and last name, the year, the vote percentage.","SELECT p.nameFirst, p.nameLast, h.yearID, CAST(h.votes AS REAL) / h.ballots * 100 as vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.ballots > 0 AND CAST(h.votes AS REAL) / h.ballots >= 0.75 ORDER BY vote_percentage DESC LIMIT 50","SELECT p.nameFirst AS first_name, p.nameLast AS last_name, h.yearID AS year, (h.votes::DOUBLE / h.ballots) * 100 AS vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.category = 'Player' AND (h.votes::DOUBLE / h.ballots) >= 0.75 ORDER BY vote_percentage DESC LIMIT 50",,8.440517666749656
2,evals_hard,False,MISMATCH,lahman_2014,"Find the top 8 pitchers by WHIP. Show the player's first and last name, the year, the innings pitched, and the WHIP.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.BB + pi.H) / (pi.IPouts / 3.0) as WHIP FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY WHIP ASC LIMIT 8","SELECT p.nameFirst AS first_name,
       p.nameLast AS last_name,
       pi.yearID AS year,
       (pi.IPouts/3.0) AS innings_pitched,
       ((pi.BB + pi.H) / (pi.IPouts/3.0)) AS WHIP
FROM lahman_2014.pitching pi
JOIN lahman_2014.players p ON pi.playerID = p.playerID
WHERE pi.IPouts > 0
ORDER BY WHIP ASC
LIMIT 8",Results do not match,21.19145733397454
3,evals_hard,False,AGENT_ERROR,ErgastF1,"List each constructor-season combination where the constructor scored more than 100 total points, for seasons after when points systems became comparable. Show the constructor name, year, and total points. Aggregate points from individual race results.","SELECT c.name AS constructor, ra.year, SUM(r.points) AS total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE ra.year >= 2010 AND r.position IS NOT NULL AND r.position > 0 GROUP BY c.constructorId, c.name, ra.year HAVING SUM(r.points) > 100",,Agent error: Max iterations reached,39.61061400081962
4,evals_hard,True,NONE,CraftBeer,"Find the top 50 session beers by ABV. Note: ABV is stored as a decimal (e.g., 0.05 for 5%). I'd like to see their name, abv, style, and brewery name.","SELECT b.name as beer_name, b.abv, b.style, br.name as brewery FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv < 0.05 AND b.abv IS NOT NULL ORDER BY b.abv DESC LIMIT 50","SELECT b.name, b.abv, b.style, br.name AS brewery_name
FROM CraftBeer.beers b
JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.abv < 0.05
ORDER BY b.abv DESC
LIMIT 50;",,11.950328500010073
5,evals_hard,True,NONE,world,"Find countries with small populations (< 100,000) - economic data for these may be unreliable. Exclude countries with population = 0. Show their name, population, and gross national product.","SELECT c.Name, c.Population, c.GNP FROM world.Country c WHERE c.Population < 100000 AND c.Population > 0","SELECT Name, Population, GNP FROM world.Country WHERE Population > 0 AND Population < 100000 ORDER BY Population",,8.643183249980211
6,evals_hard,False,AGENT_ERROR,financial,"Calculate transaction statistics (total deposits, total deposit amount, and average deposit amount).","SELECT COUNT(*) as total_deposits, SUM(amount) as total_deposit_amount, AVG(amount) as avg_deposit_amount FROM financial.trans WHERE type = 'PRIJEM' AND amount >= 1000 AND k_symbol IS NOT NULL AND k_symbol != 'UROK' AND date >= '1995-01-01'",,Agent error: Max iterations reached,33.3759611658752
7,evals_hard,False,AGENT_ERROR,lahman_2014,"Find the top 10 batters (name, year) by batting average (H/AB).","SELECT p.nameFirst, p.nameLast, b.yearID, CAST(b.H AS REAL) / b.AB as batting_avg FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 ORDER BY batting_avg DESC LIMIT 10",,Agent error: Max iterations reached,28.82586987502873
8,evals_hard,False,AGENT_ERROR,world,List major cities along with their country information.,"SELECT ci.Name as city_name, ci.Population, co.Name as country_name, co.Continent, co.Region FROM world.City ci JOIN world.Country co ON ci.CountryCode = co.Code WHERE ci.Population > 2000000",,Agent error: Max iterations reached,27.328182165510952
9,evals_hard,False,AGENT_ERROR,ErgastF1,Find the top 30 constructors with the highest number of races where at least two cars started.,"SELECT c.name as constructor, COUNT(DISTINCT r1.raceId) as races_at_least_two_started FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.resultId < r2.resultId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId WHERE r1.grid > 0 AND r2.grid > 0 GROUP BY c.constructorId, c.name ORDER BY races_at_least_two_started DESC LIMIT 30",,Agent error: Max iterations reached,28.417563292197883
10,evals_hard,True,NONE,CraftBeer,"For beers missing IBU data, impute a value of 20 (typical for lagers/wheat beers) and calculate average IBU by style.","SELECT b.style, AVG(COALESCE(b.ibu, 20)) as avg_ibu_imputed FROM CraftBeer.beers b GROUP BY b.style","SELECT style, AVG(COALESCE(ibu, 20)) AS avg_ibu FROM CraftBeer.beers GROUP BY style",,5.741817292757332
11,evals_hard,False,AGENT_ERROR,ErgastF1,Find the top 30 F1 drivers by podium finishes.,"SELECT d.forename, d.surname, COUNT(*) as podium_finishes FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId WHERE r.position IS NOT NULL AND r.position > 0 AND r.position <= 3 GROUP BY d.driverId, d.forename, d.surname ORDER BY podium_finishes DESC LIMIT 30",,Agent error: Max iterations reached,28.371925707906485
12,evals_hard,False,AGENT_ERROR,world,"List the top 50 capital cities by population, along with their countries.","SELECT co.Name as country, ci.Name as capital_city, ci.Population FROM world.Country co JOIN world.City ci ON co.Capital = ci.ID WHERE ci.Population IS NOT NULL ORDER BY ci.Population DESC LIMIT 50",,Agent error: Max iterations reached,33.113094832748175
13,evals_hard,False,MISMATCH,Credit,Find the top 50 statements by net amount.,"SELECT c.statement_no, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) as gross_charges, SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as refunds, SUM(CASE WHEN c.charge_code != 'RF' THEN c.charge_amt ELSE 0 END) - SUM(CASE WHEN c.charge_code = 'RF' THEN c.charge_amt ELSE 0 END) as net_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 GROUP BY c.statement_no ORDER BY net_amount DESC LIMIT 50","SELECT s.statement_no,
       s.statement_dt,
       s.statement_amt,
       COALESCE(SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END), 0) AS net_amount
FROM Credit.statement AS s
LEFT JOIN Credit.charge AS c ON c.statement_no = s.statement_no
GROUP BY s.statement_no, s.statement_dt, s.statement_amt
ORDER BY net_amount DESC
LIMIT 50",Results do not match,24.558767915703356
