case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
0,evals_hard,False,AGENT_ERROR,Credit,"Find the top 50 member-quarters by charge count. I want to see the member's first and last name, the statement number, the charge count, and the total charges.","SELECT m.firstname, m.lastname, c.statement_no, COUNT(*) as charge_count, SUM(c.charge_amt) as total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY m.member_no, m.firstname, m.lastname, c.statement_no ORDER BY charge_count DESC LIMIT 50",,Agent error: Max iterations reached,53.91266345791519
1,evals_hard,True,NONE,world,"List countries by continent with their dominant languages where language percentage exceeds 90%, showing whether each language is official.","SELECT co.Continent, co.Name as country, cl.Language, cl.Percentage, cl.IsOfficial FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.Percentage > 90","SELECT Continent,
       CountryName AS Country,
       Language,
       IsOfficial,
       Percentage
FROM (
    SELECT c.Continent,
           c.Name AS CountryName,
           cl.Language,
           cl.IsOfficial,
           cl.Percentage,
           ROW_NUMBER() OVER (PARTITION BY c.Code ORDER BY cl.Percentage DESC) AS rn
    FROM world.Country c
    JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
    WHERE cl.Percentage > 90
) sub
WHERE rn = 1
ORDER BY Continent, Country;",,10.075971624813974
2,evals_hard,False,MISMATCH,Accidents,"Count accidents by administrative unit, only for units with more than 100 accidents for statistical significance.","SELECT n.upravna_enota, COUNT(*) as accident_count FROM Accidents.nesreca n GROUP BY n.upravna_enota HAVING COUNT(*) > 100","SELECT upravna_enota AS administrative_unit,
       COUNT(*) AS accident_count
FROM Accidents.nesreca
WHERE klas_nesreca IS NOT NULL
  AND tip_nesreca = 'Accident'
GROUP BY upravna_enota
HAVING COUNT(*) > 100",Results do not match,25.183875791728497
3,evals_hard,True,NONE,Credit,"Identify the top 30 members (first, last) by cumulative lifetime charges.","SELECT m.firstname, m.lastname, SUM(c.charge_amt) as lifetime_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code != 'RF' AND c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY lifetime_charges DESC LIMIT 30","SELECT m.firstname, m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS total_lifetime_charges
FROM Credit.member AS m
JOIN Credit.charge AS c ON m.member_no = c.member_no
WHERE c.charge_amt <> 0.01  -- exclude test transactions
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY total_lifetime_charges DESC
LIMIT 30;",,29.488862291909754
4,evals_hard,False,MISMATCH,Airline,What is the on-time performance percentage for each unique airline carrier? Round the percentage to 2 decimal places.,"SELECT UniqueCarrier, ROUND((SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)), 2) as on_time_percentage FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Diverted = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT UniqueCarrier,
       ROUND(100.0 * SUM(CASE WHEN ArrDel15 = 0 THEN 1 ELSE 0 END) / COUNT(*), 2) AS on_time_performance_percentage
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Cancelled = 0
  AND DepTime IS NOT NULL
  AND ArrTime IS NOT NULL
  AND (WeatherDelay IS NULL OR WeatherDelay = 0)
GROUP BY UniqueCarrier
ORDER BY UniqueCarrier",Results do not match,28.60346637479961
5,evals_hard,True,NONE,CraftBeer,"For beers missing IBU data, impute a value of 20 (typical for lagers/wheat beers) and calculate average IBU by style.","SELECT b.style, AVG(COALESCE(b.ibu, 20)) as avg_ibu_imputed FROM CraftBeer.beers b GROUP BY b.style","SELECT style, AVG(COALESCE(ibu, 20)) AS avg_ibu
FROM CraftBeer.beers
GROUP BY style
ORDER BY style",,10.35063450038433
6,evals_hard,False,MISMATCH,Chess,What are the top three openings by games played? Count games separately for each opening_id (do not deduplicate by name).,"SELECT o.name as opening_name, COUNT(*) as game_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY game_count DESC LIMIT 3","SELECT g.opening_id, COUNT(*) AS game_count
FROM Chess.game AS g
JOIN Chess.opening AS o ON g.opening_id = o.opening_id
WHERE g.opening_id IS NOT NULL
  AND o.name NOT IN ('French Defense', 'Sicilian Defense')
GROUP BY g.opening_id
ORDER BY game_count DESC
LIMIT 3;",Results do not match,46.80491799954325
7,evals_hard,True,NONE,employee,Find salary statistics for departments where salary statistics can be reported. Show me employee count and average salary by department name.,"SELECT d.dept_name, COUNT(DISTINCT e.emp_no) as employee_count, AVG(s.salary) as avg_salary FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no JOIN employee.employees e ON de.emp_no = e.emp_no JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE de.to_date = '9999-01-01' AND s.to_date = '9999-01-01' GROUP BY d.dept_name HAVING COUNT(DISTINCT e.emp_no) >= 5","WITH active_emp AS (
 SELECT s.emp_no, s.salary
 FROM employee.salaries s
 WHERE s.to_date = DATE '9999-01-01'
),
current_dept AS (
 SELECT de.emp_no, de.dept_no
 FROM employee.dept_emp de
 WHERE de.to_date = DATE '9999-01-01'
)
SELECT d.dept_name AS department_name,
       COUNT(a.emp_no) AS employee_count,
       AVG(a.salary) AS average_salary
FROM employee.departments d
JOIN current_dept cd ON cd.dept_no = d.dept_no
JOIN active_emp a ON a.emp_no = cd.emp_no
GROUP BY d.dept_name
HAVING COUNT(a.emp_no) >= 5
ORDER BY d.dept_name;",,79.13109854236245
8,evals_hard,True,NONE,lahman_2014,"Find the top 50 Hall of Fame voting results by BBWAA with at least 75% support, showing vote percentages. Give the player's first and last name, the year, the vote percentage.","SELECT p.nameFirst, p.nameLast, h.yearID, CAST(h.votes AS REAL) / h.ballots * 100 as vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.ballots > 0 AND CAST(h.votes AS REAL) / h.ballots >= 0.75 ORDER BY vote_percentage DESC LIMIT 50","SELECT p.nameFirst AS first_name,
       p.nameLast AS last_name,
       h.yearID AS year,
       (h.votes::DOUBLE / h.ballots) * 100 AS vote_percentage
FROM lahman_2014.halloffame h
JOIN lahman_2014.players p ON h.hofID = p.hofID
WHERE h.votedBy = 'BBWAA'
  AND h.ballots > 0
  AND (h.votes::DOUBLE / h.ballots) >= 0.75
ORDER BY vote_percentage DESC
LIMIT 50",,10.469724208116531
9,evals_hard,False,AGENT_ERROR,ErgastF1,Find the top 30 driver names by fastest lap time.,"SELECT d.forename, d.surname, MIN(lt.milliseconds) as fastest_lap_ms FROM ErgastF1.lapTimes lt JOIN ErgastF1.drivers d ON lt.driverId = d.driverId WHERE lt.milliseconds >= 60000 GROUP BY d.driverId, d.forename, d.surname ORDER BY fastest_lap_ms ASC LIMIT 30",,Agent error: Max iterations reached,65.7551194159314
10,evals_hard,False,NO_SUBMISSION,Hockey,"Find the top 50 NHL players by average goals per season, only including players with at least 5 seasons.","SELECT m.firstName, m.lastName, CAST(SUM(s.G) AS REAL) / COUNT(DISTINCT s.year) as avg_goals_per_season, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50",,No answer submitted (agent did not call submit_answer),18.476885333657265
11,evals_hard,True,NONE,Credit,Find providers with fewer than 100 total charges that should be aggregated as 'Long tail providers'. I want to see the provider number and the charge count.,"SELECT p.provider_no, COUNT(*) as charge_count FROM Credit.charge c JOIN Credit.provider p ON c.provider_no = p.provider_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY p.provider_no HAVING COUNT(*) < 100","SELECT provider_no, COUNT(*) AS charge_count FROM Credit.charge GROUP BY provider_no HAVING COUNT(*) < 100",,28.800791207700968
12,evals_hard,True,NONE,employee,How many employees are part of the 'legacy workforce'?,SELECT COUNT(*) as legacy_workforce_count FROM employee.employees WHERE hire_date < '1990-01-01',SELECT COUNT(*) AS legacy_employee_count FROM employee.employees WHERE hire_date < DATE '1990-01-01';,,8.434128084219992
13,evals_hard,False,MISMATCH,employee,"Calculate the current headcount by department based on their current department assignment, counting each employee only once based on their most recent department assignment. Be sure to return departments by name, not id.","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) as headcount FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no WHERE de.to_date = '9999-01-01' AND de.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01') GROUP BY d.dept_name","WITH latest_assign AS (
  SELECT emp_no, dept_no,
         ROW_NUMBER() OVER (PARTITION BY emp_no ORDER BY from_date DESC) as rn
  FROM employee.dept_emp
  WHERE to_date = DATE '9999-01-01'
)
SELECT d.dept_name, COUNT(*) AS headcount
FROM latest_assign la
JOIN employee.departments d ON la.dept_no = d.dept_no
WHERE la.rn = 1
GROUP BY d.dept_name
ORDER BY d.dept_name;",Results do not match,11.855793207883835
14,evals_hard,False,NO_SUBMISSION,Airline,"Show carrier performance with counts of on-time, moderately delayed, and severely delayed flights.","SELECT UniqueCarrier, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time, SUM(CASE WHEN ArrDelayMinutes > 15 AND ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) as moderate_delays, SUM(CASE WHEN ArrDelayMinutes > 180 THEN 1 ELSE 0 END) as severe_delays FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier",,No answer submitted (agent did not call submit_answer),59.6554184993729
15,evals_hard,False,NO_SUBMISSION,Airline,Find all origin/destination airport pairs that are thin routes. How many such pairs are there?,"SELECT COUNT(*) AS thin_route_count FROM (SELECT Origin, Dest FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL GROUP BY Origin, Dest HAVING COUNT(*) < 50) thin_routes",,No answer submitted (agent did not call submit_answer),41.34707650076598
