case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
0,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → run_sql → submit,What is the on-time performance percentage for each unique airline carrier? Round the percentage to 2 decimal places.,"SELECT UniqueCarrier, ROUND((SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)), 2) as on_time_percentage FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Diverted = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT f.UniqueCarrier AS Carrier,
       c.Description AS CarrierName,
       ROUND(100.0 * SUM(CASE WHEN f.ArrDelayMinutes <= 15 AND f.ArrDelayMinutes IS NOT NULL THEN 1 ELSE 0 END) / COUNT(*), 2) AS OnTimePerformancePct
FROM Airline.On_Time_On_Time_Performance_2016_1 f
LEFT JOIN Airline.L_UNIQUE_CARRIERS c ON f.UniqueCarrier = c.Code
WHERE f.Cancelled = 0
  AND (f.WeatherDelay IS NULL OR f.WeatherDelay = 0)
GROUP BY f.UniqueCarrier, c.Description
ORDER BY f.UniqueCarrier",Results do not match,13.743972791358829
1,evals_hard,True,NONE,Credit,Credit.charge|Credit.member,True,True,,find_schema → describe(Credit.member) → run_sql → submit,"Find the top 25 members (member_no, first name, last name, and net_charge_volume) by net charge volume, where refunds (charge_code 'RF') are subtracted from gross charges.","SELECT m.member_no, m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) as net_charge_volume FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY net_charge_volume DESC LIMIT 25","SELECT m.member_no, m.firstname, m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS net_charge_volume
FROM Credit.member m
JOIN Credit.charge c ON m.member_no = c.member_no
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY net_charge_volume DESC
LIMIT 25",,6.540965749882162
2,evals_hard,True,NONE,financial,financial.loan,True,True,,find_schema → run_sql → run_sql → submit,Find the default rate for loans.,"SELECT CAST(COUNT(CASE WHEN status IN ('C', 'D') THEN 1 END) AS REAL) / COUNT(CASE WHEN status NOT IN ('B') THEN 1 END) as default_rate_pct FROM financial.loan","SELECT COUNT(CASE WHEN status IN ('C','D') THEN 1 END)::DOUBLE / NULLIF(COUNT(CASE WHEN status != 'B' THEN 1 END),0) AS default_rate
FROM financial.loan",,4.433948791585863
3,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → run_sql → submit,"Find the top 30 F1 drivers (first name and last name) by race completion rate, only including drivers with at least 50 race starts. Include total races, completed races, and completion rate.","SELECT d.forename, d.surname, COUNT(*) as total_races, SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) as completed_races, CAST(SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as completion_rate FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) >= 50 ORDER BY completion_rate DESC LIMIT 30","SELECT d.forename AS first_name,
       d.surname AS last_name,
       COUNT(*) AS total_races,
       SUM(CASE WHEN r.statusId = 1 THEN 1 ELSE 0 END) AS completed_races,
       SUM(CASE WHEN r.statusId = 1 THEN 1 ELSE 0 END)::float / COUNT(*) AS completion_rate
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
GROUP BY d.driverId, d.forename, d.surname
HAVING COUNT(*) >= 50
ORDER BY completion_rate DESC
LIMIT 30",Results do not match,4.77642579190433
4,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.batting|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 50 players by career batting average, only including players with at least 500 career at-bats.","SELECT p.nameFirst, p.nameLast, CAST(SUM(b.H) AS REAL) / SUM(b.AB) as career_ba FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 GROUP BY p.playerID, p.nameFirst, p.nameLast HAVING SUM(b.AB) >= 500 ORDER BY career_ba DESC LIMIT 50","SELECT p.playerID, p.nameFirst, p.nameLast, SUM(b.H) AS career_hits, SUM(b.AB) AS career_AB, SUM(b.H)::DOUBLE / NULLIF(SUM(b.AB),0) AS career_BA
FROM lahman_2014.players p
JOIN lahman_2014.batting b ON p.playerID = b.playerID
GROUP BY p.playerID, p.nameFirst, p.nameLast
HAVING SUM(b.AB) >= 500
ORDER BY career_BA DESC
LIMIT 50",Results do not match,4.603721624240279
5,evals_hard,True,NONE,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → run_sql → submit,Find the top 30 F1 drivers by podium finishes.,"SELECT d.forename, d.surname, COUNT(*) as podium_finishes FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId WHERE r.position IS NOT NULL AND r.position > 0 AND r.position <= 3 GROUP BY d.driverId, d.forename, d.surname ORDER BY podium_finishes DESC LIMIT 30","SELECT d.driverId, d.forename, d.surname, d.code, COUNT(*) AS podiums
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
WHERE r.position IN (1,2,3) AND r.position IS NOT NULL AND r.position != 0
GROUP BY d.driverId, d.forename, d.surname, d.code
ORDER BY podiums DESC
LIMIT 30",,3.6679871659725904
6,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → describe(CraftBeer.breweries) → run_sql → submit,Identify the top 30 microbreweries with the smallest beer catalogs.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) < 3 ORDER BY beer_count ASC, br.name LIMIT 30","SELECT br.id, br.name, br.city, br.state, COUNT(DISTINCT b.id) AS beer_count
FROM CraftBeer.beers b
JOIN CraftBeer.breweries br ON b.brewery_id = br.id
GROUP BY br.id, br.name, br.city, br.state
HAVING COUNT(DISTINCT b.id) < 3
ORDER BY beer_count ASC, br.name ASC
LIMIT 30",,5.727775916457176
7,evals_hard,True,NONE,world,world.Country|world.CountryLanguage,True,True,,find_schema → describe(world.Country) → describe(world.CountryLanguage) → run_sql → run_sql → submit,Find country names where the sum of language percentages exceeds 100% due to multilingualism.,SELECT co.Name FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode GROUP BY co.Name HAVING SUM(cl.Percentage) > 100,"SELECT c.Name
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
GROUP BY c.Name
HAVING SUM(cl.Percentage) > 100
ORDER BY c.Name",,6.6673185005784035
8,evals_hard,False,MISMATCH,CraftBeer,CraftBeer.beers,True,True,,find_schema → run_sql → submit,"For beers missing IBU data, impute a value of 20 (typical for lagers/wheat beers) and calculate average IBU by style.","SELECT b.style, AVG(COALESCE(b.ibu, 20)) as avg_ibu_imputed FROM CraftBeer.beers b GROUP BY b.style","SELECT 
  CASE 
    WHEN style LIKE '%IPA%' OR style LIKE '%India Pale Ale%' THEN 'IPA'
    WHEN style LIKE '%Stout%' OR style LIKE '%Porter%' THEN 'Stout/Porter'
    WHEN style LIKE '%Lager%' OR style LIKE '%Pilsner%' OR style LIKE '%Pilsener%' THEN 'Lager/Pilsner'
    WHEN style LIKE '%Hefeweizen%' OR style LIKE '%Witbier%' OR style LIKE '%Wheat%' THEN 'Wheat'
    WHEN style LIKE '%Sour%' OR style LIKE '%Wild%' THEN 'Sour'
    ELSE 'Other'
  END AS style_norm,
  AVG(COALESCE(ibu, 20)) AS avg_ibu
FROM CraftBeer.beers
GROUP BY style_norm
ORDER BY avg_ibu DESC;",Results do not match,6.2178380424156785
9,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → run_sql → submit,"Calculate win rates for White players (with at least 5 games). Return the 30 players with the highest win rates, ordered by win rate descending.","SELECT g.white as player, CAST(SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as win_rate FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY g.white HAVING COUNT(*) >= 5 ORDER BY win_rate DESC LIMIT 30","SELECT g.white,
       COUNT(*) AS total_games,
       SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS wins,
       SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END)::FLOAT / COUNT(*) AS win_rate
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
GROUP BY g.white
HAVING COUNT(*) >= 5
ORDER BY win_rate DESC
LIMIT 30;",,7.569764541462064
10,evals_hard,True,NONE,lahman_2014,lahman_2014.batting|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 10 batters (name, year) by batting average (H/AB).","SELECT p.nameFirst, p.nameLast, b.yearID, CAST(b.H AS REAL) / b.AB as batting_avg FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 ORDER BY batting_avg DESC LIMIT 10","SELECT p.nameFirst, p.nameLast, b.yearID, (b.H::DOUBLE / NULLIF(b.AB,0)) AS batting_average
FROM lahman_2014.players p
JOIN lahman_2014.batting b ON p.playerID = b.playerID
WHERE b.AB >= 100
ORDER BY batting_average DESC
LIMIT 10",,4.4969217497855425
11,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.pitching|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 50 starting pitchers by games started, showing their season statistics. I want to see the player's first and last name, the year, the games started, the innings pitched, and the earned runs.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.GS as games_started, pi.IPouts / 3 as innings_pitched, pi.ER FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.GS > 0 AND pi.IPouts >= 150 ORDER BY pi.GS DESC LIMIT 50","SELECT p.nameFirst, p.nameLast, pi.yearID AS year, pi.GS AS games_started,
       pi.IPouts/3.0 AS innings_pitched,
       pi.ER AS earned_runs
FROM lahman_2014.players p
JOIN lahman_2014.pitching pi ON p.playerID = pi.playerID
WHERE pi.IPouts >= 150
ORDER BY pi.GS DESC
LIMIT 50",Results do not match,4.79315899964422
12,evals_hard,False,MISMATCH,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.beers) → describe(CraftBeer.breweries) → run_sql → run_sql → run_sql → run_sql → run_sql → submit,"Find beers with 'extreme' bitterness. Return the beer name, IBU, style, and brewery name.","SELECT b.name as beer_name, b.ibu, b.style, br.name as brewery_name FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.ibu > 100","SELECT b.name AS beer_name,
       b.ibu,
       b.style,
       br.name AS brewery_name
FROM CraftBeer.beers b
LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.ibu >= (
    SELECT quantile(ibu, 0.95) FROM CraftBeer.beers WHERE ibu IS NOT NULL
)
ORDER BY b.ibu DESC",Results do not match,10.431032874621451
